"id_chosenPair","id_subsetPair","smiles_molecule_a","smiles_molecule_b","tanimoto_cdk_Extended","TanimotoCombo","pchembl_distance","target_name","simil_2D","simil_3D","dissimil_2D","dissimil_3D","id_molecule_a","id_molecule_b","id_randPair","pair_type"
51,2,"COc1ccc(N2CC=C(c3ccc(F)cc3)C2=O)cc1OCCN1CCCCC1","COc1ccc(N2CC=C(c3ccc(F)cc3)C2=O)cc1OCCN1CCC(C)CC1",1.0,1.98,0.0999999999999996,"5HT2B",1,1,0,0,28,342,1797,"sim2D,sim3D"
52,3,"CC(C)[C@@H](CN1CCC(c2cccc(O)c2)CC1)NC(=O)[C@H]1Cc2ccc(O)cc2CN1","CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)[C@H]1Cc2ccc(O)cc2CN1",1.0,1.946,0.71,"HERG",1,1,0,0,1249,1260,2705,"sim2D,sim3D"
53,14,"COc1ccc(CNC(=O)C(c2ccc(F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1","COc1ccc(CNC(=O)C(c2ccc(OC)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1",0.9660056657223796,1.897,0.2199999999999997,"CYP2D6",1,1,0,0,62,66,1080,"sim2D,sim3D"
54,16,"COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCCC(C)(C)C(=O)O)c1","COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCCC2(C(=O)O)CCCC2)c1",0.9629629629629628,1.826,0.1000000000000005,"HERG",1,1,0,0,668,779,783,"sim2D,sim3D"
55,18,"COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(OC)cc3)c3ccccc3)CC2)cc1","COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(OC)cc3)c3ccc(F)cc3)CC2)cc1",0.9594594594594594,1.985,0.6400000000000006,"CYP2D6",1,1,0,0,118,144,704,"sim2D,sim3D"
56,20,"COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccccc3)c3ccc(F)cc3)CC2)cc1","COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccccc3)c3ccccc3)CC2)cc1",0.9585635359116024,1.984,0.2999999999999998,"CYP2D6",1,1,0,0,2,73,104,"sim2D,sim3D"
57,21,"O=C([C@H]1CNCC[C@]1(O)c1ccc(F)c(F)c1)N(Cc1cn(Cc2cccnc2)c2cccc(F)c12)C1CC1","O=C([C@H]1CNCC[C@]1(O)c1ccc(F)c(F)c1)N(Cc1cn(Cc2cccc(F)c2)c2cccc(F)c12)C1CC1",0.95136186770428,1.897,0.1299999999999999,"HERG",1,1,0,0,282,347,283,"sim2D,sim3D"
58,23,"COc1ccc(CNC(=O)C(c2ccc(OC)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1","COc1ccc(CNC(=O)C(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1",0.9497206703910616,1.894,0.4000000000000003,"CYP2D6",1,1,0,0,66,146,1391,"sim2D,sim3D"
59,27,"COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccccc3OC)c3ccccc3)CC2)cc1","COc1ccccc1C(=O)NCC(c1ccccc1)N1CCN(CC(O)COc2ccc(Cl)cc2)CC1",0.946524064171123,1.914,0.0600000000000005,"CYP2D6",1,1,0,0,97,147,1978,"sim2D,sim3D"
60,29,"Cc1ccc(C(C(=O)NCc2ccccc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1","Cc1cccc(C)c1OCC(O)CN1CCN(C(C(=O)NCc2ccccc2)c2ccc(F)cc2)CC1",0.9426934097421203,1.976,0.0,"CYP2D6",1,1,0,0,67,102,2093,"sim2D,sim3D"
61,42,"COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(Cl)cc3)c3ccc(F)cc3)CC2)cc1","COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(OC)cc3)c3ccc(F)cc3)CC2)cc1",0.9291338582677166,1.902,0.1800000000000006,"CYP2D6",1,1,0,0,3,144,2198,"sim2D,sim3D"
62,44,"CNC1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1","CN(C1CCCCC1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1",0.922872340425532,1.7480000000000002,0.5100000000000007,"CYP2D6",1,1,0,0,26,37,2172,"sim2D,sim3D"
63,48,"Cc1ccc2c(N3CCN(CCc4cccc5c4OCC(=O)N5C)[C@H](C)C3)cccc2n1","Cc1ccc2c(N3CCN(CCc4cccc5c4OCC(=O)N5CC(F)F)CC3)cccc2n1",0.9162995594713657,1.915,1.4000000000000004,"HERG",1,1,0,0,428,930,1011,"sim2D,sim3D"
64,50,"COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccccc3)c3ccc(F)cc3)CC2)cc1","COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(Cl)cc3)c3ccccc3)CC2)cc1",0.9122340425531916,1.972,0.0,"CYP2D6",1,1,0,0,2,50,406,"sim2D,sim3D"
65,53,"COc1ccc(CNC(=O)C(c2ccc(F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1","COc1ccc(CNC(=O)C(c2ccc(F)cc2)N2CCN(CC(O)COc3ccc(OC)cc3)CC2)cc1",0.9088397790055248,1.812,0.3599999999999994,"CYP2D6",1,1,0,0,62,95,2062,"sim2D,sim3D"
66,58,"CN(C1CCCCC1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1","CN(c1ncccn1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1",0.9036458333333334,1.565,0.2999999999999998,"CYP2D6",1,1,0,0,37,99,1033,"sim2D,sim3D"
67,72,"CC(=O)SCc1ccc(-c2cccnc2)o1","c1cncc(-c2ccc(C3SCCS3)o2)c1",0.8919753086419753,1.7,0.08,"CYP2D6",1,1,0,0,9,122,629,"sim2D,sim3D"
68,73,"COc1ccc(CNC(=O)C(c2ccc(F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1","Cc1ccc(C(C(=O)NCc2ccccc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1",0.8876712328767123,1.864,0.1800000000000006,"CYP2D6",1,1,0,0,62,67,739,"sim2D,sim3D"
69,78,"Cc1cccc(C)c1OCC(O)CN1CCN(C(C(=O)NCc2ccccc2)c2ccc(C(F)(F)F)cc2)CC1","COc1ccc(CNC(=O)C(c2ccc(F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1",0.8783783783783784,1.838,0.4800000000000004,"CYP2D6",1,1,0,0,11,62,244,"sim2D,sim3D"
70,83,"CC(C(=O)NC1(c2ccccc2)CCC(N2CCC3(CCCO3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1","CC(C(=O)NC1(c2ccccc2)CCC(N2CCC(O)(Cc3ccccc3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1",0.8746518105849582,1.6569999999999998,0.4400000000000004,"HERG",1,1,0,0,383,444,1046,"sim2D,sim3D"
71,84,"CN(C1CCCCC1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1","CN(Cc1ccccc1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1",0.8721804511278195,1.733,0.3999999999999994,"CYP2D6",1,1,0,0,37,153,2858,"sim2D,sim3D"
72,85,"COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(C(F)(F)F)cc3)CC2)cc1","COc1ccc(CNC(=O)C(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1",0.8702702702702703,1.716,0.0,"CYP2D6",1,1,0,0,69,146,1211,"sim2D,sim3D"
73,92,"COc1ccc(OC)c(S(=O)(=O)NCC(c2ccccc2)N2CCN(CC(O)COc3ccc(Br)cc3)CC2)c1","Cc1cccc(S(=O)(=O)NCC(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3ccc(Br)cc3)CC2)c1",0.86,1.7519999999999998,0.4800000000000004,"CYP2D6",1,1,0,0,1,57,1254,"sim2D,sim3D"
74,124,"Cc1cc(Cn2cc(CN(C(=O)[C@H]3CNCC[C@]3(O)c3ccc(F)c(F)c3)C3CC3)c3c(F)cccc32)no1","COCCCn1cc(CN(C(=O)[C@H]2CNCC[C@]2(O)c2ccc(F)c(F)c2)C2CC2)c2c(F)cccc21",0.8110918544194108,1.742,0.1699999999999999,"HERG",1,1,0,0,505,535,2585,"sim2D,sim3D"
75,152,"COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cncc(-c3c(F)cccc3F)c1)CC2","COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(C)c(-c3cnccc3C)c1)CC2",0.7604562737642585,1.7380000000000002,1.4000000000000004,"5HT2B",1,1,0,0,155,815,1283,"sim2D,sim3D"
76,145,"Clc1cccc(N2CCNCC2)c1","COc1cc(OC)c(C(=O)CCCCN2CCC3(CC2)NC(=O)NC3=O)cc1NS(=O)(=O)c1ccc(C(C)C)cc1",0.1786407766990291,0.4429999999999999,1.7199999999999998,"5HT2B",0,0,1,1,39,398,124,"dis2D,dis3D"
77,176,"Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1","CC(C)c1cccc(C(C)C)c1O",0.1844155844155844,0.564,0.71,"5HT2B",0,0,1,1,847,889,1603,"dis2D,dis3D"
78,247,"COC(=O)NCCc1cc(Cl)c(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)c1","O=S(=O)(c1ccccc1)c1ccc(/C=C/c2ccc(F)cc2F)cc1",0.1927480916030534,0.696,0.54,"HERG",0,0,1,1,263,491,164,"dis2D,dis3D"
79,405,"Cc1nccc2c1[nH]c1ccccc12","C=CCOCC(O)CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1",0.2063492063492063,0.589,2.93,"CYP2D6",0,0,1,1,7,36,1435,"dis2D,dis3D"
80,540,"Cc1c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cnn1C","CN(C)CCOC(c1ccccc1)c1ccccc1",0.2156398104265403,0.8370000000000001,0.4199999999999999,"HERG",0,0,1,1,731,1099,1780,"dis2D,dis3D"
81,899,"C[C@H]1SC(c2ccccc2O)=N[C@@H]1CO","Cc1cccc(NC2=NC(N)=NC3(CCCCC3)N2)c1",0.230142566191446,0.894,1.4900000000000002,"5HT2B",0,0,1,1,1243,1261,472,"dis2D,dis3D"
82,1191,"Fc1cccc2c1nc(OCC1CCN(CCCC(F)(F)F)CC1)c1cccnc12","Cc1ccc2c(c1)N1CCNCC1NC2=O",0.2397137745974955,0.76,0.1699999999999999,"5HT2B",0,0,1,1,649,729,1478,"dis2D,dis3D"
83,1244,"Cc1ccc2c(OCCN3CCN(Cc4cccc5cccnc45)CC3)cccc2n1","CN(C)[C@H]1Cc2ccccc2[C@H](c2cccc(-c3ccccc3)c2)C1",0.2411764705882353,0.862,0.7999999999999998,"5HT2B",0,0,1,1,283,564,1727,"dis2D,dis3D"
84,1275,"NC(N)=NC(=O)c1ccc2c(c1)C(O)c1c(Cl)cccc1-2","N=C1NC(=O)/C(=C\c2c[nH]c3ccccc23)N1",0.2422586520947176,0.934,3.330000000000001,"5HT2B",0,0,1,1,922,1071,405,"dis2D,dis3D"
85,1482,"Cc1cccc(C)c1OCC(O)CN1CCN(C(C(=O)NCc2ccccc2)c2ccc(C(F)(F)F)cc2)CC1","CN(C)Cc1ccc(-c2cccnc2)s1",0.25,0.529,1.16,"CYP2D6",0,0,1,1,11,15,1740,"dis2D,dis3D"
86,1607,"OC1(c2ccc(Cl)cc2)CC2CCC(C1)N2CCCSc1ccccc1F","NC(N)=NC(=O)c1ccc2c(c1)C(N)c1ccccc1-2",0.2535787321063394,0.777,1.4699999999999998,"5HT2B",0,0,1,1,865,1225,882,"dis2D,dis3D"
87,2097,"O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12","OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1",0.2678899082568807,0.78,2.97,"5HT2B",0,0,1,1,538,1103,149,"dis2D,dis3D"
88,2937,"C=CC1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccccc12","OC(COc1ccccc1)CN1CCN(C(c2ccccc2)c2ccc(C(F)(F)F)cc2)CC1",0.2882703777335984,0.674,1.0999999999999996,"CYP2D6",0,0,1,1,8,52,1748,"dis2D,dis3D"
89,2999,"NC(N)=NC(=O)c1ccc2c(c1)C(O)c1cccc(Cl)c1-2","CCc1cc2c(c(C(F)(F)F)c1)C(=O)N[C@H]1CNC[C@H]21",0.2896678966789668,0.8859999999999999,1.760000000000001,"5HT2B",0,0,1,1,546,863,187,"dis2D,dis3D"
90,3082,"CCOC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC(C4CC4)C4CC4)nc(Cl)nc31)[C@H](O)[C@@H]2O","C[C@@H]1SC(c2ccc(-c3ccccc3)cc2)=N[C@H]1Cc1c[nH]cn1",0.2916666666666667,0.87,2.78,"5HT2B",0,0,1,1,777,1297,1493,"dis2D,dis3D"
91,3447,"OC(COc1ccccc1)CN1CCN(C(c2ccccc2)c2ccc(C(F)(F)F)cc2)CC1","O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1",0.2992700729927007,0.888,0.5499999999999998,"CYP2D6",0,0,1,1,52,63,841,"dis2D,dis3D"
92,3566,"COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(-c3cccnc3)nc1)CC2","NC(N)=NC(=O)c1ccc2c(c1)-c1ccccc1C2O",0.3021346469622332,0.769,0.9400000000000004,"5HT2B",0,0,1,1,317,1150,317,"dis2D,dis3D"
93,3682,"CC(C)c1ccc(S(=O)(=O)c2n[nH]c3ccc(NC4CCNCC4)cc23)cc1","O=C1c2ccc(C(F)(F)F)cc2C[C@@H]2CNCCN12",0.3049001814882032,0.7959999999999999,0.3600000000000003,"5HT2B",0,0,1,1,500,924,235,"dis2D,dis3D"
94,4812,"C[C@@H](NC(=O)Nc1cccc(-c2nnnn2C)c1)[C@@H](O)CN1CCC[C@@H](Cc2ccc(F)cc2)C1","COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(C(F)(F)F)cc3)c3ccccc3)CC2)cc1",0.3327402135231316,0.758,0.0600000000000005,"CYP2D6",0,0,1,1,43,65,921,"dis2D,dis3D"
95,4910,"CC(C(=O)N[C@]1(c2ccccc2)CC[C@@H](N2CCC(c3ccc(F)cc3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1","CN(C)CCC1=C(Cc2cnccn2)c2ccc(Cl)cc2C1",0.3351449275362319,0.75,1.5200000000000005,"HERG",0,0,1,1,211,362,634,"dis2D,dis3D"
96,7205,"OCC1CC2(c3ccccc3)NC1CCC2NCc1cc(OC(F)(F)F)ccc1OC1CC1","C[C@@H]1CCCN1CCc1ccc2nc(-c3csc(-c4cc(Cl)nc(Cl)c4)n3)ccc2c1",0.3996889580093312,0.741,1.2800000000000002,"HERG",0,0,1,1,886,1243,271,"dis2D,dis3D"
97,7233,"Cc1ccc2c(c1C)N1[C@H](CNC[C@H]1C)C2","COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cncc(-c3ccc(F)cc3)c1)CC2",0.400709219858156,0.625,0.0300000000000002,"5HT2B",0,0,1,1,289,612,2057,"dis2D,dis3D"
98,7344,"COc1ccc(N2Cc3c(c4cc(Cl)c(Cl)cc4n3C)C2=O)cc1OCCN1CCCCC1","O=C1NC2CCNCCN2c2ccccc21",0.4055727554179567,0.657,0.4699999999999997,"5HT2B",0,0,1,1,56,305,2413,"dis2D,dis3D"
99,7500,"Cc1nc2ccccn2c1-c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1","CN(C)CCCn1nc(C2=C(c3cn(-c4ccc5ccccc5c4)c4ccccc34)C(=O)NC2=O)c2ccccc21",0.4138888888888888,0.762,1.8999999999999997,"HERG",0,0,1,1,480,1004,1596,"dis2D,dis3D"
100,8491,"CC1(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCN([C@]2(c3ccccc3)CC[C@@H](N3CCN(c4ccccc4Cl)C(=O)C3)CC2)C1=O","O=C(NC1CCc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc21)c1ccc(F)cc1",0.5456171735241503,0.922,1.34,"HERG",0,0,1,1,93,994,1628,"dis2D,dis3D"
